,Links
25,https://casa.mercadolibre.com.co/MCO-1271129879-casa-en-manrique-santa-cecilia-para-la-venta-_JM#position=26&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
26,https://inmueble.mercadolibre.com.co/MCO-1302882567-casa-santa-elena-con-licencia-de-construccion-_JM#position=27&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
27,https://casa.mercadolibre.com.co/MCO-1108145298-casa-en-san-joaquin-_JM#position=28&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
28,https://casa.mercadolibre.com.co/MCO-1170030948-casa-en-venta-en-el-poblado-_JM#position=29&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
29,https://casa.mercadolibre.com.co/MCO-886220176-venta-excelente-casa-3-niveles-area-74-mt-unidad-cerrada-sencilla-_JM#position=30&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
30,https://casa.mercadolibre.com.co/MCO-1276525465-venta-de-espectacular-casa-moderna-y-domotizada-alto-de-las-palmas-_JM#position=31&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
31,https://casa.mercadolibre.com.co/MCO-1559562158-casa-venta-robledo-unidad-cerrada-precio-de-oferta-_JM#position=32&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
32,https://apartamento.mercadolibre.com.co/MCO-1791716986-ganga-vendo-hermosa-casa-medellin-san-javier-cerca-estacion-metro-_JM#position=33&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
33,https://casa.mercadolibre.com.co/MCO-1231788903-venta-de-casa-en-el-poblado-_JM#position=34&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
34,https://casa.mercadolibre.com.co/MCO-1506969948-casa-para-la-venta-en-el-barrio-buenos-aires-_JM#position=35&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
35,https://casa.mercadolibre.com.co/MCO-1147248631-casa-el-poblado-la-calera-medellin-pagar-con-crypto-_JM#position=36&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
36,https://casa.mercadolibre.com.co/MCO-872462680-se-vende-casa-comercial-y-familiar-en-el-sector-de-villa-nueva-_JM#position=37&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
37,https://casa.mercadolibre.com.co/MCO-1221632694-casa-venta-la-estrella-la-ferreria-_JM#position=38&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
38,https://casa.mercadolibre.com.co/MCO-1293161555-venta-de-casa-campestre-en-sector-tesoro-poblado-_JM#position=39&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
39,https://casa.mercadolibre.com.co/MCO-1291049313-venta-casa-belen-malibu-medellin-primer-piso-_JM#position=40&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
40,https://casa.mercadolibre.com.co/MCO-979614951-venta-de-casa-remodelada-en-el-poblado-el-tesoro-_JM#position=41&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
41,https://casa.mercadolibre.com.co/MCO-1246526727-vendo-casa-medellin-poblado-tambien-recibo-criptomonedas-_JM#position=42&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
42,https://casa.mercadolibre.com.co/MCO-1307263983-venta-de-casa-en-medellin-barrio-robledo-urb-las-cometas-_JM#position=43&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
43,https://casa.mercadolibre.com.co/MCO-1294164795-venta-de-casa-en-medellin-corregimiento-san-antonio-de-prado-_JM#position=44&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
44,https://casa.mercadolibre.com.co/MCO-1173558110-vendo-casa-medellin-poblado-tambien-recibo-criptomonedas-_JM#position=45&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
45,https://casa.mercadolibre.com.co/MCO-1257192474-casa-en-venta-buenos-aires-_JM#position=46&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
46,https://apartamento.mercadolibre.com.co/MCO-1663345168-venta-de-casa-en-villa-hermosa-medellin-antioquia-_JM#position=47&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
47,https://inmueble.mercadolibre.com.co/MCO-1815867950-venta-casa-santa-elena-_JM#position=48&search_layout=grid&type=item&tracking_id=871edb2f-6999-4682-9ef9-4fbce6913c68
48,https://casa.mercadolibre.com.co/MCO-1108833380-venta-casa-barrio-boston-medellin-_JM#position=1&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
49,https://casa.mercadolibre.com.co/MCO-1663307556-venta-de-casa-en-el-poblado-medellin-antioquia-_JM#position=2&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
50,https://casa.mercadolibre.com.co/MCO-1675392102-casa-unifamiliar-en-venta-calasanz-medellin-n-_JM#position=3&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
51,https://casa.mercadolibre.com.co/MCO-1293203233-casa-unidad-cerrada-poblado-250-mts-_JM#position=4&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
52,https://inmueble.mercadolibre.com.co/MCO-1221613852-casa-finca-en-venta-santa-elena-_JM#position=5&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
53,https://casa.mercadolibre.com.co/MCO-904934946-venta-casa-en-prado-centro-_JM#position=6&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
54,https://casa.mercadolibre.com.co/MCO-1694211306-casa-con-el-aire-para-nuevo-proyecto-_JM#position=7&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
55,https://casa.mercadolibre.com.co/MCO-1307586355-hermosa-casa-de-340-mts-reformada-en-sector-tesoro-_JM#position=8&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
56,https://casa.mercadolibre.com.co/MCO-1307523109-venta-casa-en-el-poblado-medellin-_JM#position=9&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
57,https://casa.mercadolibre.com.co/MCO-1481998142-casa-para-la-venta-en-prado-centro-_JM#position=10&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
58,https://casa.mercadolibre.com.co/MCO-1199486226-hermosa-casa-de-lujo-en-las-palmas-poblado-_JM#position=11&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
59,https://casa.mercadolibre.com.co/MCO-1176280184-casa-en-el-alto-de-las-palmas-recibo-crypto-_JM#position=12&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
60,https://apartamento.mercadolibre.com.co/MCO-1310237953-casa-en-los-colores-para-construir-o-bodega-oficinas-_JM#position=13&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
61,https://casa.mercadolibre.com.co/MCO-1309523993-casa-bifamiliar-en-venta-san-antonio-de-prado-cerca-uva-paraiso-_JM#position=14&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
62,https://casa.mercadolibre.com.co/MCO-1663320796-casa-en-venta-la-mota-medellin-_JM#position=15&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
63,https://casa.mercadolibre.com.co/MCO-1723769792-se-vende-casa-en-calasanz-excelente-ubicacion-para-airbnb-_JM#position=16&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
64,https://apartamento.mercadolibre.com.co/MCO-1559230646-casa-unidad-cerrada-poblado-280-mts-_JM#position=17&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
65,https://casa.mercadolibre.com.co/MCO-1797521366-casa-de-500-mts-cuadrados-_JM#position=18&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
66,https://casa.mercadolibre.com.co/MCO-1665392320-casa-para-venta-en-robledo-unidad-cerrada-4-alcobas-garaje-_JM#position=19&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
67,https://casa.mercadolibre.com.co/MCO-928127631-casa-hermosa-remodelada-el-poblado-tesoro-_JM#position=20&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
68,https://casa.mercadolibre.com.co/MCO-1502984874-casa-en-corregimiento-santa-elena-rah-_JM#position=21&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
69,https://casa.mercadolibre.com.co/MCO-1118692565-venta-de-casa-en-medellin-barrio-simon-bolivar-_JM#position=22&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
70,https://casa.mercadolibre.com.co/MCO-1143678154-vendo-8-apartaestudios-amoblados-para-alquilar-_JM#position=23&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
71,https://casa.mercadolibre.com.co/MCO-1293229137-casa-500-m-de-lujo-amoblada-poblado-balsos-_JM#position=24&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
72,https://casa.mercadolibre.com.co/MCO-1238010497-casa-campestre-en-venta-en-medellin-las-palmas-cod-62-_JM#position=25&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
73,https://casa.mercadolibre.com.co/MCO-1299127458-venta-casa-de-lujo-altos-del-poblado-_JM#position=26&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
74,https://casa.mercadolibre.com.co/MCO-1665476498-venta-casa-en-la-loma-del-campestre-en-el-poblado-unidad-cerrada-_JM#position=27&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
75,https://casa.mercadolibre.com.co/MCO-1307923205-casa-para-la-venta-en-el-sector-de-santa-monica-_JM#position=28&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
76,https://casa.mercadolibre.com.co/MCO-1308261665-se-vende-o-arrienda-casa-campestre-en-santa-elena-vereda-el-plan-_JM#position=29&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
77,https://casa.mercadolibre.com.co/MCO-1201537651-casa-grande-en-laureles-4-propiedades-en-una-_JM#position=30&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
78,https://casa.mercadolibre.com.co/MCO-1102377703-casas-en-venta-buenos-aires-643-6742-_JM#position=31&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
79,https://casa.mercadolibre.com.co/MCO-1307596973-casa-unifamiliar-en-venta-en-belen-miravalle-_JM#position=32&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
80,https://casa.mercadolibre.com.co/MCO-1190126552-casa-en-venta-el-tesoro-medellin-_JM#position=33&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
81,https://casa.mercadolibre.com.co/MCO-999594857-apartamento-en-venta-en-medellin-envigado-cod-1133-_JM#position=34&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
82,https://casa.mercadolibre.com.co/MCO-1307596931-casa-unifamiliar-en-venta-en-el-estadio-_JM#position=35&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
83,https://casa.mercadolibre.com.co/MCO-1317297930-vendo-casa-en-propiedad-horizontal-en-belen-malibu-_JM#position=36&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
84,https://casa.mercadolibre.com.co/MCO-621197152-casas-en-venta-poblado-643-4453-_JM#position=37&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
85,https://casa.mercadolibre.com.co/MCO-1665390492-casa-en-venta-en-el-estadio-_JM#position=38&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
86,https://casa.mercadolibre.com.co/MCO-1757811190-hermosa-casa-en-venta-en-exclusivo-sector-del-poblado-_JM#position=39&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
87,https://casa.mercadolibre.com.co/MCO-1584974946-venta-de-casa-en-loma-de-los-gonzalez-_JM#position=40&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
88,https://casa.mercadolibre.com.co/MCO-1808567138-venta-de-casa-en-medellin-san-cristobal-1100-metros-de-lote-_JM#position=41&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
89,https://casa.mercadolibre.com.co/MCO-1290729129-se-vende-casa-remodelada-en-castropol-el-poblado-_JM#position=42&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
90,https://casa.mercadolibre.com.co/MCO-1613603742-casa-en-venta-en-san-antonio-de-prado-_JM#position=43&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
91,https://casa.mercadolibre.com.co/MCO-1304315957-venta-casa-transversal-superior-el-poblado-medellin-_JM#position=44&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
92,https://casa.mercadolibre.com.co/MCO-1317115201-vendo-casa-medellin-poblado-tambien-recibo-criptomonedas-_JM#position=45&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
93,https://casa.mercadolibre.com.co/MCO-1315664549-venta-de-casa-en-belen-malibu-medellin-_JM#position=46&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
94,https://casa.mercadolibre.com.co/MCO-1663296026-venta-de-casa-en-la-mota-medellin-_JM#position=47&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
95,https://casa.mercadolibre.com.co/MCO-1303900745-genial-casa-en-venta-poblado-castropol-_JM#position=48&search_layout=grid&type=item&tracking_id=bdb9fa7a-ee47-4efd-b86f-bf6aed827947
96,https://inmueble.mercadolibre.com.co/MCO-1330483157-lotes-y-casa-lote-santa-elena-antioquia-_JM#position=1&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
97,https://casa.mercadolibre.com.co/MCO-1276189283-vendo-casa-cerca-al-tesoro-con-piscina-propia-_JM#position=2&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
98,https://inmueble.mercadolibre.com.co/MCO-1115360376-casa-finca-en-venta-en-san-antonio-de-prado-_JM#position=3&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
99,https://casa.mercadolibre.com.co/MCO-1307574771-casa-en-venta-en-condominio-en-pilarica-3-niveles-_JM#position=4&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
100,https://casa.mercadolibre.com.co/MCO-1431231112-super-casa-lote-en-venta-belen-la-palma-_JM#position=5&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
101,https://casa.mercadolibre.com.co/MCO-1326306457-venta-casa-lujo-luxury-medellin-poblado-palmas-vista-panoramica-_JM#position=6&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
102,https://casa.mercadolibre.com.co/MCO-1293216415-venta-de-casa-castellana-1er-piso-4-alcobas-garaje-_JM#position=7&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
103,https://casa.mercadolibre.com.co/MCO-1307587641-venta-casa-en-el-poblado-medellin-_JM#position=8&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
104,https://casa.mercadolibre.com.co/MCO-1628507100-se-vende-casa-campestre-en-la-ceja-super-precio-_JM#position=9&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
105,https://casa.mercadolibre.com.co/MCO-1625284812-casa-remodelada-en-el-sector-de-las-santas-_JM#position=10&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
106,https://casa.mercadolibre.com.co/MCO-1290705689-se-vende-casa-en-el-poblado-en-la-superior-con-las-palmas-remodelada-_JM#position=11&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
107,https://casa.mercadolibre.com.co/MCO-1307612465-venta-casa-campestre-en-el-poblado-_JM#position=12&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
108,https://inmueble.mercadolibre.com.co/MCO-1307587617-casa-finca-en-venta-en-san-antonio-de-prado-_JM#position=13&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
109,https://casa.mercadolibre.com.co/MCO-1150427834-casa-via-las-palmas-medellin-paga-con-cripyto-_JM#position=14&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
110,https://casa.mercadolibre.com.co/MCO-1607679020-amplia-casa-ubicada-en-sector-plano-del-poblado-la-frontera-cerca-a-todas-las-comodidades-_JM#position=15&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
111,https://casa.mercadolibre.com.co/MCO-1221626321-grandiosa-casa-en-venta-unidad-cerrada-poblado-castropol-_JM#position=16&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
112,https://casa.mercadolibre.com.co/MCO-1325145251-se-vende-exclusiva-casa-en-el-poblado-_JM#position=17&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
113,https://casa.mercadolibre.com.co/MCO-1665341656-casa-unifamiliar-en-robledo-_JM#position=18&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
114,https://casa.mercadolibre.com.co/MCO-1311841233-venta-casa-2-niveles-el-poblado-parte-alta-_JM#position=19&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
115,https://casa.mercadolibre.com.co/MCO-1293710485-casa-en-venta-en-castropol-en-el-poblado-_JM#position=20&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
116,https://casa.mercadolibre.com.co/MCO-1307607581-venta-casa-en-el-poblado-medellin-_JM#position=21&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
117,https://casa.mercadolibre.com.co/MCO-1559562186-casa-campestre-venta-san-felix-via-san-pedro-8000-m2-2-casa-fincas-_JM#position=22&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
118,https://casa.mercadolibre.com.co/MCO-1296228823-casas-en-venta-las-palmas-472-3876-_JM#position=23&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
119,https://casa.mercadolibre.com.co/MCO-1302668371-vendo-casa-en-el-poblado-a-unos-minutos-del-cc-amsterdam-plaza-_JM#position=24&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
120,https://casa.mercadolibre.com.co/MCO-1320113339-vendo-casa-unifamiliar-en-laureles-_JM#position=25&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
121,https://casa.mercadolibre.com.co/MCO-1187939601-casa-en-venta-loma-el-escobero-_JM#position=26&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
122,https://casa.mercadolibre.com.co/MCO-1305174469-venta-casa-transversal-superior-el-poblado-medellin-_JM#position=27&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
123,https://inmueble.mercadolibre.com.co/MCO-1628557560-vendo-casa-finca-via-a-fredonia-por-la-tolva-piedra-verde-_JM#position=28&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
124,https://lote-casalote.mercadolibre.com.co/MCO-1617238240-casa-lote-en-venta-en-laureles-medellin-_JM#position=29&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
125,https://casa.mercadolibre.com.co/MCO-1201506831-casa-grande-en-laureles-para-remodelar-_JM#position=30&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
126,https://casa.mercadolibre.com.co/MCO-1107893405-casa-campestre-para-venta-en-san-felix-bello-via-a-san-pedro-_JM#position=31&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
127,https://casa.mercadolibre.com.co/MCO-621381440-casas-en-venta-poblado-643-1835-_JM#position=32&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
128,https://casa.mercadolibre.com.co/MCO-1108197269-casa-en-venta-buenos-aires-miraflores-3-niveles-100-mt-_JM#position=33&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
129,https://casa.mercadolibre.com.co/MCO-1326101985-casa-de-dos-pisos-muy-amplia-para-la-venta-en-el-barrio-belalcazar-via-bello-_JM#position=34&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
130,https://casa.mercadolibre.com.co/MCO-979547731-venta-casa-en-el-poblado-sector-alejandria-en-unidad-cerrada-_JM#position=35&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
131,https://casa.mercadolibre.com.co/MCO-1705900868-vendo-casa-sector-el-tesoro-poblado-medellin-paga-con-crypto-_JM#position=36&search_layout=grid&type=item&tracking_id=93d7bbcf-400b-4b49-bf25-df53b36fd207
